1,218282e-03 1200000 1 161
1,355958e-04 1200000 1 125
2,077461e-04 1200000 1 110
5,759245e-04 1200000 1 125
3,874934e-04 1200000 1 110
2,312636e-05 1200000 1 126
8,893620e-04 1200000 1 125
6,835216e-04 1200000 1 126
7,981132e-04 1200000 1 109
5,027133e-04 1200000 1 110
1,116423e-03 600000 2 51
4,222495e-05 600000 2 94
1,334738e-04 600000 2 63
1,875690e-03 600000 2 94
2,569863e-04 600000 2 94
3,906765e-04 600000 2 109
2,119902e-04 600000 2 95
8,252673e-04 600000 2 110
7,661074e-05 600000 2 78
1,364272e-03 600000 2 63
1,013070e-03 400000 3 47
9,633763e-05 400000 3 110
1,010145e-04 400000 3 94
1,090700e-04 400000 3 110
3,764503e-04 400000 3 47
2,312636e-05 400000 3 63
1,137211e-03 400000 3 109
1,360286e-04 400000 3 111
1,461887e-03 400000 3 46
5,370990e-04 400000 3 63
1,419620e-04 300000 4 79
1,905697e-06 300000 4 78
1,568423e-03 300000 4 79
3,036718e-04 300000 4 94
9,313706e-04 300000 4 47
1,071860e-03 300000 4 47
8,210231e-04 300000 4 35
2,230333e-04 300000 4 100
1,699558e-03 300000 4 85
1,050206e-03 300000 4 94
4,008541e-04 240000 5 94
9,472861e-04 240000 5 78
1,668788e-03 240000 5 31
2,622915e-04 240000 5 79
4,691929e-04 240000 5 78
1,079915e-03 240000 5 63
5,912117e-04 240000 5 83
1,016253e-03 240000 5 74
3,159715e-04 240000 5 63
8,570983e-04 240000 5 78
3,019916e-03 200000 6 63
3,015497e-04 200000 6 62
1,027296e-03 200000 6 65
3,079159e-04 200000 6 78
1,716535e-03 200000 6 63
2,217775e-03 200000 6 63
9,254371e-04 200000 6 78
1,568423e-03 200000 6 79
1,504761e-03 200000 6 78
1,663916e-03 200000 6 63
9,700005e-04 150000 8 62
1,627408e-03 150000 8 63
1,292555e-03 150000 8 62
3,898451e-03 150000 8 64
1,657550e-03 150000 8 67
2,357399e-03 150000 8 47
2,009380e-03 150000 8 63
2,862625e-04 150000 8 64
1,207672e-03 150000 8 61
2,489400e-03 150000 8 63
2,024235e-03 120000 10 47
2,629023e-03 120000 10 47
5,116343e-04 120000 10 47
1,493718e-03 120000 10 47
1,625719e-03 120000 10 47
2,930789e-03 120000 10 47
3,478024e-04 120000 10 47
8,722107e-05 120000 10 47
8,193338e-04 120000 10 46
1,848536e-03 120000 10 48
1,504503e-04 100000 12 31
2,332367e-03 100000 12 31
2,060568e-04 100000 12 35
2,587015e-03 100000 12 47
3,817380e-03 100000 12 32
9,271264e-04 100000 12 31
9,954653e-04 100000 12 48
8,936061e-04 100000 12 47
1,678338e-03 100000 12 31
1,372760e-03 100000 12 31
6,280899e-05 12000000 1 1083
7,426814e-05 12000000 1 1176
2,550642e-06 12000000 1 1331
4,158833e-05 12000000 1 1211
2,444538e-06 12000000 1 1199
1,000512e-04 12000000 1 1272
3,147065e-04 12000000 1 1004
3,946626e-05 12000000 1 973
4,477143e-05 12000000 1 1050
8,456016e-05 12000000 1 1115
1,816530e-04 6000000 2 596
2,279140e-04 6000000 2 690
2,228128e-04 6000000 2 722
2,714164e-04 6000000 2 877
2,281179e-04 6000000 2 690
1,099272e-04 6000000 2 691
1,952259e-04 6000000 2 768
1,880192e-04 6000000 2 690
1,165056e-04 6000000 2 707
2,177198e-04 6000000 2 847
4,285757e-07 4000000 3 580
3,242475e-04 4000000 3 758
1,561799e-04 4000000 3 631
1,151179e-04 4000000 3 675
8,764548e-05 4000000 3 486
4,514737e-04 4000000 3 534
2,726438e-05 4000000 3 439
1,198926e-04 4000000 3 533
1,758173e-04 4000000 3 507
3,188362e-04 4000000 3 623
1,356042e-04 3000000 4 415
3,374501e-05 3000000 4 393
2,552887e-04 3000000 4 486
2,459516e-04 3000000 4 376
1,432353e-04 3000000 4 742
2,484898e-04 3000000 4 678
1,419704e-04 3000000 4 644
4,870100e-04 3000000 4 760
4,000136e-04 3000000 4 408
8,778945e-04 3000000 4 598
6,546990e-05 2400000 5 636
2,061545e-04 2400000 5 392
2,459433e-04 2400000 5 549
2,047377e-05 2400000 5 379
1,286014e-04 2400000 5 467
2,675967e-04 2400000 5 377
1,843056e-04 2400000 5 345
8,297694e-05 2400000 5 619
1,027038e-04 2400000 5 360
5,238361e-04 2400000 5 612
6,451039e-04 2000000 6 486
3,212849e-04 2000000 6 725
4,795453e-05 2000000 6 714
7,469256e-05 2000000 6 439
6,540166e-04 2000000 6 705
3,219216e-04 2000000 6 659
9,719478e-05 2000000 6 659
4,547546e-04 2000000 6 721
5,495734e-05 2000000 6 722
6,259678e-05 2000000 6 738
1,585225e-04 1500000 8 643
4,604467e-05 1500000 8 596
3,495084e-04 1500000 8 612
3,053694e-04 1500000 8 597
2,939020e-04 1500000 8 618
2,009638e-04 1500000 8 580
4,551790e-04 1500000 8 566
1,449413e-04 1500000 8 579
1,151649e-03 1500000 8 596
3,715779e-04 1500000 8 628
3,174652e-04 1200000 10 518
8,464879e-04 1200000 10 502
6,385255e-04 1200000 10 502
9,765666e-06 1200000 10 486
1,625544e-04 1200000 10 465
4,157085e-04 1200000 10 489
3,204736e-05 1200000 10 547
7,758315e-04 1200000 10 502
5,088796e-06 1200000 10 533
4,443564e-04 1200000 10 549
4,604467e-05 1000000 12 439
1,326250e-04 1000000 12 445
9,755095e-04 1000000 12 361
4,967715e-04 1000000 12 427
3,855835e-04 1000000 12 393
4,802194e-04 1000000 12 392
8,127929e-05 1000000 12 486
3,299771e-04 1000000 12 377
3,741244e-04 1000000 12 486
4,798033e-04 1000000 12 455
